"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type"
223931511,11,"2018-01-01 17:32:00","2018-01-01 17:43:00",3029,39.953800,-75.194794,3012,39.942181,-75.177467,"05406",30,"One Way","Indego30"
223931510,8,"2018-01-01 17:33:00","2018-01-01 17:41:00",3101,39.942951,-75.159554,3046,39.950119,-75.144722,11800,30,"One Way","Indego30"
223931509,12,"2018-01-01 17:35:00","2018-01-01 17:47:00",3165,39.958191,-75.178200,3038,39.947811,-75.194092,"05299",30,"One Way","Indego30"
223931508,1,"2018-01-01 17:40:00","2018-01-01 17:41:00",3045,39.947922,-75.162369,3045,39.947922,-75.162369,11818,0,"Round Trip","Walk-up"
223995202,1121,"2018-01-01 17:41:00","2018-01-02 12:22:00",3045,39.947922,-75.162369,3000,"","",11818,0,"One Way","Walk-up"
223931507,7,"2018-01-01 17:43:00","2018-01-01 17:50:00",3073,39.961430,-75.152420,3070,39.960621,-75.139832,11950,30,"One Way","Indego30"
223931506,11,"2018-01-01 17:44:00","2018-01-01 17:55:00",3101,39.942951,-75.159554,3050,39.953388,-75.154259,"03289",30,"One Way","Indego30"
223935294,8,"2018-01-01 18:00:00","2018-01-01 18:08:00",3052,39.947319,-75.156952,3026,39.941380,-75.145638,11954,365,"One Way","Indego365"
223935293,11,"2018-01-01 18:03:00","2018-01-01 18:14:00",3075,39.967178,-75.161247,3052,39.947319,-75.156952,"03659",30,"One Way","Indego30"
223935292,20,"2018-01-01 18:08:00","2018-01-01 18:28:00",3114,39.937752,-75.180122,3114,39.937752,-75.180122,11771,30,"Round Trip","Indego30"
223935291,8,"2018-01-01 18:10:00","2018-01-01 18:18:00",3040,39.962891,-75.166061,3070,39.960621,-75.139832,"03643",30,"One Way","Indego30"
223935289,1,"2018-01-01 18:11:00","2018-01-01 18:12:00",3007,39.945171,-75.159927,3007,39.945171,-75.159927,"03309",365,"Round Trip","Indego365"
223935290,5,"2018-01-01 18:11:00","2018-01-01 18:16:00",3055,39.951118,-75.154572,3037,39.954239,-75.161377,"03725",30,"One Way","Indego30"
223935286,21,"2018-01-01 18:15:00","2018-01-01 18:36:00",3053,39.932308,-75.181541,3053,39.932308,-75.181541,"02712",30,"Round Trip","Indego30"
223935287,6,"2018-01-01 18:15:00","2018-01-01 18:21:00",3007,39.945171,-75.159927,3098,39.934311,-75.160423,"03309",365,"One Way","Indego365"
223935288,11,"2018-01-01 18:15:00","2018-01-01 18:26:00",3153,39.972160,-75.129936,3073,39.961430,-75.152420,"03612",30,"One Way","Indego30"
223935285,37,"2018-01-01 18:17:00","2018-01-01 18:54:00",3073,39.961430,-75.152420,3101,39.942951,-75.159554,"04723",30,"One Way","Indego30"
223935284,10,"2018-01-01 18:21:00","2018-01-01 18:31:00",3038,39.947811,-75.194092,3165,39.958191,-75.178200,"05299",30,"One Way","Indego30"
223935283,7,"2018-01-01 18:36:00","2018-01-01 18:43:00",3070,39.960621,-75.139832,3073,39.961430,-75.152420,11950,30,"One Way","Indego30"
223935282,10,"2018-01-01 18:49:00","2018-01-01 18:59:00",3112,39.953732,-75.218246,3006,39.952202,-75.203110,"03304",30,"One Way","Indego30"
223939084,50,"2018-01-01 18:58:00","2018-01-01 19:48:00",3101,39.942951,-75.159554,3013,39.963169,-75.147919,"04723",30,"One Way","Indego30"
223939083,11,"2018-01-01 19:00:00","2018-01-01 19:11:00",3032,39.945271,-75.179710,3045,39.947922,-75.162369,"03288",365,"One Way","IndegoFlex"
223939082,11,"2018-01-01 19:03:00","2018-01-01 19:14:00",3070,39.960621,-75.139832,3040,39.962891,-75.166061,"03643",30,"One Way","Indego30"
223939081,24,"2018-01-01 19:08:00","2018-01-01 19:32:00",3004,39.953781,-75.163742,3100,39.927769,-75.151031,"05282",30,"One Way","Indego30"
223939080,8,"2018-01-01 19:13:00","2018-01-01 19:21:00",3052,39.947319,-75.156952,3023,39.950481,-75.172859,11902,30,"One Way","Indego30"
223939079,4,"2018-01-01 19:15:00","2018-01-01 19:19:00",3040,39.962891,-75.166061,3054,39.962502,-75.174202,11892,30,"One Way","Indego30"
223939077,11,"2018-01-01 19:22:00","2018-01-01 19:33:00",3026,39.941380,-75.145638,3005,39.947330,-75.144028,"03377",0,"One Way","Walk-up"
223939078,12,"2018-01-01 19:22:00","2018-01-01 19:34:00",3161,39.954861,-75.180908,3025,39.937241,-75.161201,"02505",0,"One Way","Walk-up"
223939076,9,"2018-01-01 19:24:00","2018-01-01 19:33:00",3026,39.941380,-75.145638,3005,39.947330,-75.144028,"03695",0,"One Way","Walk-up"
